station_id,date,value,file_used,processing_time
51368,2013-01-05,45.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54835,2013-01-05,0.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50774,2013-01-05,52.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50775,2013-01-05,60.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54305,2013-01-05,42.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54186,2013-01-05,52.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54102,2013-01-05,46.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50862,2013-01-05,56.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54923,2013-01-05,0.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
58562,2013-01-05,0.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50983,2013-01-05,71.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50353,2013-01-05,47.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50888,2013-01-05,63.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51053,2013-01-05,31.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51186,2013-01-05,48.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51356,2013-01-05,64.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50468,2013-01-05,63.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51059,2013-01-05,30.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50618,2013-01-05,47.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54313,2013-01-05,51.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54493,2013-01-05,45.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50850,2013-01-05,50.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54096,2013-01-05,48.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54094,2013-01-05,47.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54012,2013-01-05,51.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54157,2013-01-05,58.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
